peerURI,serverName,host,machine,"search_group","_mkv_child","_timediff","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group","__mv__mkv_child","__mv__timediff"
"10.5.32.191:8089",usrlsplnkidx003,usrlsplnkidx003,usrlsplnkidx003,"dmc_group_indexer",0,,,,,,,,
"10.5.32.191:8089",usrlsplnkidx003,usrlsplnkidx003,usrlsplnkidx003,"dmc_group_kv_store",1,,,,,,,,
"10.5.32.191:8089",usrlsplnkidx003,usrlsplnkidx003,usrlsplnkidx003,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.100:8089",usrlsplnkidx001,usrlsplnkidx001,usrlsplnkidx001,"dmc_group_indexer",0,,,,,,,,
"10.5.33.100:8089",usrlsplnkidx001,usrlsplnkidx001,usrlsplnkidx001,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.100:8089",usrlsplnkidx001,usrlsplnkidx001,usrlsplnkidx001,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.102:8089",USRLSPLNKIDX002,usrlsplnkidx002,usrlsplnkidx002,"dmc_group_indexer",0,,,,,,,,
"10.5.33.102:8089",USRLSPLNKIDX002,usrlsplnkidx002,usrlsplnkidx002,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.102:8089",USRLSPLNKIDX002,usrlsplnkidx002,usrlsplnkidx002,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.241:8089",usrlsplnkidx004,usrlsplnkidx004,usrlsplnkidx004,"dmc_group_indexer",0,,,,,,,,
"10.5.33.241:8089",usrlsplnkidx004,usrlsplnkidx004,usrlsplnkidx004,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.241:8089",usrlsplnkidx004,usrlsplnkidx004,usrlsplnkidx004,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.242:8089",usrlsplnkidx005,usrlsplnkidx005,usrlsplnkidx005,"dmc_group_indexer",0,,,,,,,,
"10.5.33.242:8089",usrlsplnkidx005,usrlsplnkidx005,usrlsplnkidx005,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.242:8089",usrlsplnkidx005,usrlsplnkidx005,usrlsplnkidx005,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.243:8089",usrlsplnkidx006,usrlsplnkidx006,usrlsplnkidx006,"dmc_group_indexer",0,,,,,,,,
"10.5.33.243:8089",usrlsplnkidx006,usrlsplnkidx006,usrlsplnkidx006,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.243:8089",usrlsplnkidx006,usrlsplnkidx006,usrlsplnkidx006,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.244:8089",usrlsplnkidx007,usrlsplnkidx007,usrlsplnkidx007,"dmc_group_indexer",0,,,,,,,,
"10.5.33.244:8089",usrlsplnkidx007,usrlsplnkidx007,usrlsplnkidx007,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.244:8089",usrlsplnkidx007,usrlsplnkidx007,usrlsplnkidx007,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.245:8089",usrlsplnkidx008,usrlsplnkidx008,usrlsplnkidx008,"dmc_group_indexer",0,,,,,,,,
"10.5.33.245:8089",usrlsplnkidx008,usrlsplnkidx008,usrlsplnkidx008,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.245:8089",usrlsplnkidx008,usrlsplnkidx008,usrlsplnkidx008,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.246:8089",usrlsplnkidx009,usrlsplnkidx009,usrlsplnkidx009,"dmc_group_indexer",0,,,,,,,,
"10.5.33.246:8089",usrlsplnkidx009,usrlsplnkidx009,usrlsplnkidx009,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.246:8089",usrlsplnkidx009,usrlsplnkidx009,usrlsplnkidx009,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.247:8089",usrlsplnkidx010,usrlsplnkidx010,usrlsplnkidx010,"dmc_group_indexer",0,,,,,,,,
"10.5.33.247:8089",usrlsplnkidx010,usrlsplnkidx010,usrlsplnkidx010,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.247:8089",usrlsplnkidx010,usrlsplnkidx010,usrlsplnkidx010,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.248:8089",usrlsplnkidx011,usrlsplnkidx011,usrlsplnkidx011,"dmc_group_indexer",0,,,,,,,,
"10.5.33.248:8089",usrlsplnkidx011,usrlsplnkidx011,usrlsplnkidx011,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.248:8089",usrlsplnkidx011,usrlsplnkidx011,usrlsplnkidx011,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.249:8089",usrlsplnkidx012,usrlsplnkidx012,usrlsplnkidx012,"dmc_group_indexer",0,,,,,,,,
"10.5.33.249:8089",usrlsplnkidx012,usrlsplnkidx012,usrlsplnkidx012,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.249:8089",usrlsplnkidx012,usrlsplnkidx012,usrlsplnkidx012,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
"10.5.33.250:8089",usrlsplnkidx013,usrlsplnkidx013,usrlsplnkidx013,"dmc_group_indexer",0,,,,,,,,
"10.5.33.250:8089",usrlsplnkidx013,usrlsplnkidx013,usrlsplnkidx013,"dmc_group_kv_store",1,,,,,,,,
"10.5.33.250:8089",usrlsplnkidx013,usrlsplnkidx013,usrlsplnkidx013,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
localhost,usrlsplunkmstidx,usrlsplunkmstidx,usrlsplunkmstidx,"dmc_group_cluster_master",0,,,,,,,,
localhost,usrlsplunkmstidx,usrlsplunkmstidx,usrlsplunkmstidx,"dmc_group_search_head",1,,,,,,,,
localhost,usrlsplunkmstidx,usrlsplunkmstidx,usrlsplunkmstidx,"dmc_indexerclustergroup_D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD",2,,,,,,,,
