sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"_habbet_X2hhYmJldA__eventgen__search1_1550696911.313","search index=_internal sourcetype=eventgen | stats count by sample",usrlsplunkmstidx,"1550696911.725765",0,"UI:Dashboard:perf",,,289295,1550696911,0,search1,289295,,,canceled,"26.739",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search4_1550696911.314","search index=_internal sourcetype=eventgen_metrics | timechart per_second(events) per_second(bytes)",usrlsplunkmstidx,"1550696911.728560",0,"UI:Dashboard:perf","1550693280.000000000","1550696911.000000000",0,1550696911,0,search4,0,"1550693280.000000000","1550696911.000000000",completed,"1.823",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search5_1550696911.315","search index=_internal sourcetype=eventgen_metrics | stats avg(bytes) by sample",usrlsplunkmstidx,"1550696911.730793",0,"UI:Dashboard:perf","1550693280.000000000","1550696911.000000000",0,1550696911,0,search5,0,"1550693280.000000000","1550696911.000000000",completed,"1.827",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search6_1550696911.316","search index=_internal sourcetype=eventgen_metrics | stats avg(events) by sample",usrlsplunkmstidx,"1550696911.733064",0,"UI:Dashboard:perf","1550693280.000000000","1550696911.000000000",0,1550696911,0,search6,0,"1550693280.000000000","1550696911.000000000",completed,"1.818",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search2_1550696913.317","search index=_internal sourcetype=eventgen_metrics | timechart per_second(bytes) | stats avg(per_second(bytes)) as avg | eval avg=round(avg/1024, 2)",usrlsplunkmstidx,"1550696913.589894",0,"UI:Dashboard:perf","1550693280.000000000","1550696913.000000000",0,1550696913,0,search2,0,"1550693280.000000000","1550696913.000000000",completed,"0.986",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1550696913.318","search index=_internal sourcetype=eventgen_metrics | timechart per_second(events) | stats avg(per_second(events)) as avg | eval avg=round(avg, 2)",usrlsplunkmstidx,"1550696913.605523",0,"UI:Dashboard:perf","1550693280.000000000","1550696913.000000000",0,1550696913,0,search3,0,"1550693280.000000000","1550696913.000000000",completed,"1.081",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search1_1563377217.1319","search index=_internal sourcetype=eventgen | stats count by sample",usrlsplunkmstidx,"1563377217.301493",0,"UI:Dashboard:perf",,,155949,1563377217,0,search1,155949,,,canceled,"15.404",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search4_1563377217.1320","search index=_internal sourcetype=eventgen_metrics | timechart per_second(events) per_second(bytes)",usrlsplunkmstidx,"1563377217.334830",0,"UI:Dashboard:perf","1563373560.000000000","1563377217.000000000",0,1563377217,0,search4,0,"1563373560.000000000","1563377217.000000000",completed,"0.33",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search5_1563377217.1321","search index=_internal sourcetype=eventgen_metrics | stats avg(bytes) by sample",usrlsplunkmstidx,"1563377217.356333",0,"UI:Dashboard:perf","1563373560.000000000","1563377217.000000000",0,1563377217,0,search5,0,"1563373560.000000000","1563377217.000000000",completed,"0.338",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search6_1563377217.1322","search index=_internal sourcetype=eventgen_metrics | stats avg(events) by sample",usrlsplunkmstidx,"1563377217.371016",0,"UI:Dashboard:perf","1563373560.000000000","1563377217.000000000",0,1563377217,0,search6,0,"1563373560.000000000","1563377217.000000000",completed,"0.32",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search2_1563377220.1323","search index=_internal sourcetype=eventgen_metrics | timechart per_second(bytes) | stats avg(per_second(bytes)) as avg | eval avg=round(avg/1024, 2)",usrlsplunkmstidx,"1563377220.723542",0,"UI:Dashboard:perf","1563373620.000000000","1563377220.000000000",0,1563377220,0,search2,0,"1563373620.000000000","1563377220.000000000",completed,"0.244",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1563377220.1324","search index=_internal sourcetype=eventgen_metrics | timechart per_second(events) | stats avg(per_second(events)) as avg | eval avg=round(avg, 2)",usrlsplunkmstidx,"1563377220.732458",0,"UI:Dashboard:perf","1563373620.000000000","1563377220.000000000",0,1563377220,0,search3,0,"1563373620.000000000","1563377220.000000000",completed,"0.23700000000000002",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search1_1575739698.9","search index=_internal sourcetype=eventgen | stats count by sample",usrlsplunkmstidx,"1575739698.658386",0,"UI:Dashboard:perf",,,89525,1575739698,0,search1,89525,,,canceled,"26.241",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search4_1575739698.10","search index=_internal sourcetype=eventgen_metrics | timechart per_second(events) per_second(bytes)",usrlsplunkmstidx,"1575739698.674552",0,"UI:Dashboard:perf","1575736080.000000000","1575739698.000000000",0,1575739698,0,search4,0,"1575736080.000000000","1575739698.000000000",completed,"0.562",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search5_1575739698.11","search index=_internal sourcetype=eventgen_metrics | stats avg(bytes) by sample",usrlsplunkmstidx,"1575739698.691636",0,"UI:Dashboard:perf","1575736080.000000000","1575739698.000000000",0,1575739698,0,search5,0,"1575736080.000000000","1575739698.000000000",completed,"0.561",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search6_1575739698.12","search index=_internal sourcetype=eventgen_metrics | stats avg(events) by sample",usrlsplunkmstidx,"1575739698.708630",0,"UI:Dashboard:perf","1575736080.000000000","1575739698.000000000",0,1575739698,0,search6,0,"1575736080.000000000","1575739698.000000000",completed,"0.544",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search2_1575739701.13","search index=_internal sourcetype=eventgen_metrics | timechart per_second(bytes) | stats avg(per_second(bytes)) as avg | eval avg=round(avg/1024, 2)",usrlsplunkmstidx,"1575739701.105893",0,"UI:Dashboard:perf","1575736080.000000000","1575739701.000000000",0,1575739701,0,search2,0,"1575736080.000000000","1575739701.000000000",completed,"0.36",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1575739701.14","search index=_internal sourcetype=eventgen_metrics | timechart per_second(events) | stats avg(per_second(events)) as avg | eval avg=round(avg, 2)",usrlsplunkmstidx,"1575739701.123922",0,"UI:Dashboard:perf","1575736080.000000000","1575739701.000000000",0,1575739701,0,search3,0,"1575736080.000000000","1575739701.000000000",completed,"0.338",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search1_1575739726.16","search index=_internal sourcetype=eventgen | stats count by module",usrlsplunkmstidx,"1575739726.259747",0,"UI:Dashboard:log_viewer",,,243296,1575739726,4,search1,243296,,,completed,"240.996",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search2_1575739726.17","search index=_internal sourcetype=eventgen | stats count by sample",usrlsplunkmstidx,"1575739726.276678",0,"UI:Dashboard:log_viewer",,,243296,1575739726,1,search2,243296,,,completed,"240.979",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1575739727.18","search index=_internal sourcetype=eventgen level=INFO OR level=WARN OR level=ERROR module=* sample=* * | table _time, level, module, sample, message",usrlsplunkmstidx,"1575739727.947331",0,"UI:Dashboard:log_viewer","1575736080.000000000","1575739727.000000000",747,1575739728,747,search3,747,"1575736080.000000000","1575739727.000000000",canceled,"0.491",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1575739729.19","search index=_internal sourcetype=eventgen level=DEBUGV OR level=INFO OR level=WARN OR level=ERROR module=* sample=* * | table _time, level, module, sample, message",usrlsplunkmstidx,"1575739729.033086",0,"UI:Dashboard:log_viewer","1575736080.000000000","1575739729.000000000",747,1575739729,747,search3,747,"1575736080.000000000","1575739729.000000000",canceled,"0.509",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1575739730.20","search index=_internal sourcetype=eventgen level=DEBUG OR level=DEBUGV OR level=INFO OR level=WARN OR level=ERROR module=* sample=* * | table _time, level, module, sample, message",usrlsplunkmstidx,"1575739730.477588",0,"UI:Dashboard:log_viewer","1575736080.000000000","1575739730.000000000",747,1575739730,747,search3,747,"1575736080.000000000","1575739730.000000000",completed,"0.518",,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__eventgen__search3_1575740234.23","search index=_internal sourcetype=eventgen level=DEBUG OR level=DEBUGV OR level=WARN OR level=ERROR module=* sample=* * | table _time, level, module, sample, message",usrlsplunkmstidx,"1575740234.951362",0,"UI:Dashboard:log_viewer","1575736620.000000000","1575740234.000000000",0,1575740235,0,search3,0,"1575736620.000000000","1575740234.000000000",completed,"1.184",,,,,,,,,,,,,,,,,
