customer,role,host
bofa,CM,ltx10besplsh01
bofa,CM,ltx10besplsh03
bofa,CM,ltx10besplsh6h
bofa,SH,ltx10besplsh5p
bofa,SH,ltx10besplsh6c
bofa,SH,lva10besplsh5b
bofa,SH,lva10besplsh6e
bofa,SH,mptelcbnx023
bofa,idx,lva10besplid12
bofa,idx,lva10besplid13
bofa,idx,lva10besplid7s
citigroup,CM,splgtdcmasp01
citigroup,SH,splgtdcshdp11
citigroup,SH,splgtdcshdp12
citigroup,SH,splswdcshdp11
citigroup,SH,splswdcshdp12
citigroup,idx,splgtdcidxd50
citigroup,idx,splgtdcidxp01
citigroup,idx,splswdcidxd50
citigroup,idx,splswdcidxp01
